| Bk | Index |  Tag  |   Word   | MESI |
| 55 | 00223 | 00001 | 00000004 |  S   | 
|----|-------|-------|----------|------| 
| 56 | 00224 | 00001 | 00000008 |  S   | 
| 56 | 00225 | 00001 | 00000007 |  S   | 
| 56 | 00226 | 00001 | 00000000 |  S   | 
| 56 | 00227 | 00001 | 00000003 |  S   | 
|----|-------|-------|----------|------| 
| 57 | 00228 | 00001 | 00000000 |  S   | 
| 57 | 00229 | 00001 | 00000000 |  S   | 
| 57 | 00230 | 00001 | 00000002 |  S   | 
| 57 | 00231 | 00001 | 00000009 |  S   | 
|----|-------|-------|----------|------| 
| 58 | 00232 | 00001 | 00000000 |  S   | 
| 58 | 00233 | 00001 | 00000004 |  S   | 
| 58 | 00234 | 00001 | 00000000 |  S   | 
| 58 | 00235 | 00001 | 00000004 |  S   | 
|----|-------|-------|----------|------| 
| 59 | 00236 | 00001 | 00000002 |  S   | 
| 59 | 00237 | 00001 | 00000005 |  S   | 
| 59 | 00238 | 00001 | 00000005 |  S   | 
| 59 | 00239 | 00001 | 00000001 |  S   | 
|----|-------|-------|----------|------| 
| 60 | 00240 | 00001 | 00000000 |  S   | 
| 60 | 00241 | 00001 | 00000007 |  S   | 
| 60 | 00242 | 00001 | 00000001 |  S   | 
| 60 | 00243 | 00001 | 00000002 |  S   | 
|----|-------|-------|----------|------| 
| 61 | 00244 | 00001 | 00000001 |  S   | 
| 61 | 00245 | 00001 | 00000007 |  S   | 
| 61 | 00246 | 00001 | 00000005 |  S   | 
| 61 | 00247 | 00001 | 00000005 |  S   | 
|----|-------|-------|----------|------| 
| 62 | 00248 | 00001 | 00000000 |  S   | 
| 62 | 00249 | 00001 | 00000002 |  S   | 
| 62 | 00250 | 00001 | 00000001 |  S   | 
| 62 | 00251 | 00001 | 00000000 |  S   | 
|----|-------|-------|----------|------| 
| 63 | 00252 | 00001 | 00000007 |  S   | 
| 63 | 00253 | 00001 | 00000008 |  S   | 
| 63 | 00254 | 00001 | 00000006 |  S   | 
| 63 | 00255 | 00001 | 00000001 |  S   | 
|----|-------|-------|----------|------| 
